room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10944578,17777000,Entire home/apt,,Santa Maria Maior,11,5.0,4,1.0,80.0,3.0,38.713895,-9.141964,2016-06-02 17:55:53.065336
11322532,54149976,Entire home/apt,,São Vicente,0,,2,1.0,58.0,1.0,38.715603,-9.132183,2016-06-02 17:55:38.123823
5657621,27094617,Private room,,Santa Maria Maior,87,4.5,2,1.0,36.0,1.0,38.712227,-9.126486,2016-06-02 17:55:31.390378
7830329,30056520,Entire home/apt,,Santa Maria Maior,21,4.5,4,1.0,69.0,3.0,38.711228,-9.129125,2016-06-02 17:55:22.101654
1554016,8203783,Entire home/apt,,Avenidas Novas,19,4.5,3,2.0,56.0,2.0,38.735522,-9.149538,2016-06-02 17:55:18.784418
12273317,63527063,Entire home/apt,,Misericórdia,1,,4,2.0,59.0,1.0,38.712497,-9.146828,2016-06-02 17:55:13.718122
7127745,29690085,Private room,,Estrela,10,4.5,2,1.0,33.0,2.0,38.713508,-9.159194,2016-06-02 17:55:09.646779
8233610,43417665,Entire home/apt,,Arroios,12,5.0,4,2.0,74.0,4.0,38.729873,-9.144294,2016-06-02 17:55:08.153456
7575436,31366365,Entire home/apt,,Campolide,12,4.5,5,3.0,113.0,1.0,38.735256,-9.158127,2016-06-02 17:54:58.193268
5462491,24225052,Entire home/apt,,Areeiro,1,,8,3.0,103.0,2.0,38.738749,-9.128255,2016-06-02 17:54:53.801176
9521438,25336352,Entire home/apt,,Misericórdia,2,,4,2.0,40.0,1.0,38.711296,-9.146567,2016-06-02 17:54:42.491772
6083642,31229565,Private room,,São Vicente,24,4.5,2,1.0,40.0,3.0,38.718148,-9.132044,2016-06-02 17:54:41.897508
12587122,52570650,Private room,,Santo António,0,,1,1.0,19.0,3.0,38.724724,-9.153509,2016-06-02 17:54:27.757059
2837561,644123,Entire home/apt,,Avenidas Novas,0,,9,3.0,149.0,3.0,38.735232,-9.155256,2016-06-02 17:54:25.438498
1300113,7068394,Entire home/apt,,Estrela,66,5.0,4,1.0,29.0,3.0,38.708803,-9.153823,2016-06-02 17:54:23.984215
3691049,6474940,Entire home/apt,,Santa Maria Maior,52,4.0,2,0.0,45.0,1.0,38.711599,-9.125134,2016-06-02 17:54:21.349327
13089657,16608289,Entire home/apt,,Misericórdia,0,,6,2.0,92.0,4.0,38.713893,-9.152523,2016-06-02 17:54:20.876326
7743775,13219688,Entire home/apt,,Misericórdia,23,4.5,5,2.0,45.0,1.0,38.708243,-9.151581,2016-06-02 17:54:17.649576
4331967,22485133,Entire home/apt,,Penha de França,7,4.0,6,2.0,90.0,2.0,38.724373,-9.129378,2016-06-02 17:54:15.178683
12564427,68101045,Private room,,Arroios,1,,2,1.0,36.0,1.0,38.725071,-9.135893,2016-06-02 17:54:04.564585
6082555,4047048,Entire home/apt,,Santo António,24,5.0,6,2.0,85.0,,38.717241,-9.154351,2016-06-02 17:54:02.730320
8730547,19502629,Entire home/apt,,Estrela,3,5.0,4,2.0,80.0,2.0,38.709156,-9.156062,2016-06-02 17:54:01.436460
6495822,6366662,Entire home/apt,,Estrela,9,5.0,2,1.0,53.0,5.0,38.71352,-9.161906,2016-06-02 17:53:53.353520
4612631,22078192,Entire home/apt,,Santa Maria Maior,0,,6,2.0,252.0,1.0,38.714903,-9.135752,2016-06-02 17:53:48.226276
12710082,21019651,Entire home/apt,,São Vicente,3,5.0,8,3.0,69.0,,38.716405,-9.120789,2016-06-02 17:53:41.763959
11909334,54757766,Entire home/apt,,Estrela,3,4.5,3,1.0,79.0,3.0,38.706596,-9.160096,2016-06-02 17:53:41.476743
3503536,17423364,Entire home/apt,,Santa Maria Maior,109,4.5,2,1.0,52.0,1.0,38.710051,-9.129588,2016-06-02 17:53:37.021686
816911,4290628,Entire home/apt,,Santa Maria Maior,96,4.5,5,2.0,69.0,2.0,38.716003,-9.133561,2016-06-02 17:53:35.976038
8117413,42861618,Private room,,Arroios,3,5.0,1,1.0,21.0,1.0,38.722864,-9.135404,2016-06-02 17:53:29.569707
5701266,259744,Private room,,Avenidas Novas,0,,2,1.0,79.0,1.0,38.727046,-9.157647,2016-06-02 17:53:20.409761
257560,1328660,Entire home/apt,,Santa Maria Maior,89,5.0,4,1.0,83.0,2.0,38.71069,-9.128266,2016-06-02 17:53:17.084526
3547303,7665008,Entire home/apt,,Santo António,4,4.0,10,6.0,109.0,3.0,38.727306,-9.145671,2016-06-02 17:53:12.589368
10139865,4184976,Entire home/apt,,Santo António,9,4.5,4,1.0,102.0,2.0,38.721798,-9.141789,2016-06-02 17:53:07.960891
625782,3104922,Entire home/apt,,Misericórdia,18,4.5,6,3.0,156.0,3.0,38.712865,-9.150824,2016-06-02 17:53:03.018102
11926128,54395281,Entire home/apt,,São Vicente,5,4.5,5,3.0,92.0,2.0,38.718282,-9.126684,2016-06-02 17:53:02.886083
4974362,4801237,Entire home/apt,,Misericórdia,26,5.0,5,3.0,207.0,1.0,38.710307,-9.144134,2016-06-02 17:52:50.371007
4858519,3634413,Entire home/apt,,Arroios,24,4.5,12,5.0,138.0,2.0,38.722201,-9.135929,2016-06-02 17:52:45.616539
2436492,12452885,Shared room,,Alcântara,0,,2,1.0,40.0,1.0,38.702893,-9.18439,2016-06-02 17:52:37.951213
10027434,3897446,Entire home/apt,,Misericórdia,0,,4,0.0,69.0,,38.714627,-9.151522,2016-06-02 17:52:33.256679
11036753,3953109,Entire home/apt,,Campolide,0,,4,1.0,60.0,3.0,38.730188,-9.161793,2016-06-02 17:52:30.372216
5846993,23335585,Entire home/apt,,Alcântara,24,5.0,4,1.0,81.0,2.0,38.703942,-9.176567,2016-06-02 17:52:22.813298
12422791,60487693,Entire home/apt,,Arroios,0,,4,2.0,103.0,2.0,38.720206,-9.138383,2016-06-02 17:52:22.639783
9092036,47402063,Private room,,Arroios,31,4.5,2,1.0,47.0,3.0,38.729399,-9.138588,2016-06-02 17:52:19.050662
1566640,1277626,Entire home/apt,,Santa Maria Maior,72,4.5,4,1.0,68.0,3.0,38.711202,-9.137815,2016-06-02 17:52:17.502057
3602061,8694270,Private room,,Estrela,67,4.5,2,1.0,22.0,2.0,38.709657,-9.153362,2016-06-02 17:52:08.998206
3361664,15191207,Entire home/apt,,Avenidas Novas,39,4.5,4,0.0,49.0,1.0,38.738886,-9.143759,2016-06-02 17:52:04.656027
8646030,20643180,Entire home/apt,,Areeiro,0,,5,3.0,92.0,2.0,38.744359,-9.141114,2016-06-02 17:51:59.318234
2082704,10329736,Entire home/apt,,Penha de França,51,4.5,9,3.0,98.0,1.0,38.722797,-9.129361,2016-06-02 17:51:59.086431
6654224,33803033,Entire home/apt,,Arroios,0,,6,2.0,149.0,2.0,38.723226,-9.134582,2016-06-02 17:51:54.031273
11136397,1282676,Entire home/apt,,Santo António,0,,6,3.0,127.0,3.0,38.718776,-9.145805,2016-06-02 17:51:49.242318
6580693,8911887,Entire home/apt,,Santo António,17,4.5,6,2.0,87.0,,38.719406,-9.141711,2016-06-02 17:51:45.522125
1097012,6028324,Entire home/apt,,Santa Maria Maior,138,4.5,3,2.0,52.0,1.0,38.713136,-9.140501,2016-06-02 17:51:39.855777
13075091,7517566,Entire home/apt,,São Vicente,0,,2,1.0,31.0,2.0,38.716598,-9.126421,2016-06-02 17:51:31.941759
3885764,12650470,Private room,,Areeiro,1,,1,1.0,28.0,3.0,38.737824,-9.132954,2016-06-02 17:51:28.809768
9362938,24039534,Entire home/apt,,Belém,2,,4,2.0,92.0,3.0,38.696863,-9.198575,2016-06-02 17:51:27.424997
11166656,56017234,Entire home/apt,,Santo António,2,,4,1.0,81.0,2.0,38.718994,-9.144465,2016-06-02 17:51:17.118577
860345,4494303,Entire home/apt,,Misericórdia,12,4.5,6,3.0,137.0,3.0,38.710411,-9.144346,2016-06-02 17:51:06.745454
