room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
14708916,1480,91501272,Shared room,,Lisbon,,Santo António,19,4.5,4,1.0,,30.0,,LOW COST HOSTEL MARQUES GARDENS 4 BED DORM,2017-07-28 01:19:53.215272,38.723987,-9.146613,0101000020E61000003F56F0DB104B22C055DD239BAB5C4340
7465447,1480,704061,Shared room,,Lisbon,,Avenidas Novas,4,3.5,6,1.0,,39.0,,Room in Lisbon center,2017-07-28 01:19:53.206052,38.735061,-9.15451,0101000020E610000057CF49EF1B4F22C054C8957A165E4340
11058290,1480,1379661,Shared room,,Lisbon,,Santa Maria Maior,38,4.5,8,1.0,,39.0,,Bed in a 8-bed dorm @ This Is Lisbon Hostel,2017-07-28 01:19:52.034547,38.715726,-9.132671,0101000020E610000057410C74ED4322C0CD72D9E89C5B4340
9019111,1480,46762399,Shared room,,Lisbon,,Avenidas Novas,9,4.0,6,1.0,,37.0,,Shared mixed bunkbed room 1,2017-07-28 01:19:52.020396,38.729017,-9.149932,0101000020E61000006C3F19E3C34C22C0309DD66D505D4340
3123304,1480,8488955,Shared room,,Lisbon,,Arroios,0,0.0,2,1.0,,480.0,,quarto no centro de lisboa,2017-07-28 01:19:50.401364,38.721617,-9.136208,0101000020E61000003AE8120EBD4522C06B9E23F25D5C4340
3110303,1480,15806678,Shared room,,Lisbon,,Arroios,0,0.0,2,1.0,,480.0,,UEFA LISBOA,2017-07-28 01:19:50.398554,38.732262,-9.134285,0101000020E6100000CDAFE600C14422C0410DDFC2BA5D4340
13514728,1480,77597089,Shared room,,Lisbon,,Lumiar,0,0.0,2,1.0,,180.0,,Autocaravana com condutor,2017-07-28 01:19:48.104348,38.761582,-9.170725,0101000020E61000001D386744695722C0739CDB847B614340
3049237,1480,15020890,Shared room,,Lisbon,,Areeiro,0,0.0,1,1.0,,174.0,,,2017-07-28 01:19:48.101673,38.738405,-9.134452,0101000020E61000007AC37DE4D64422C0F819170E845E4340
19037719,1480,8477034,Shared room,,Lisbon,,São Vicente,0,0.0,4,1.0,,144.0,,Orange placito,2017-07-28 01:19:48.098744,38.718112,-9.128895,0101000020E6100000603C8386FE4122C0BD6E1118EB5B4340
17286309,1480,95779617,Shared room,,Lisbon,,Arroios,0,0.0,1,1.0,,144.0,,"Apartamento, quarto sala",2017-07-28 01:19:47.156007,38.732699,-9.135252,0101000020E6100000EB6F09C03F4522C0EC67B114C95D4340
1006509,1480,5534910,Shared room,,Lisbon,,Santo António,0,0.0,8,1.0,,121.0,,Shared Dorms Lisbon,2017-07-28 01:19:46.442680,38.715926,-9.144646,0101000020E610000093FE5E0A0F4A22C0952D9276A35B4340
12868601,1480,67452133,Shared room,,Lisbon,,Arroios,0,0.0,10,1.0,,121.0,,Large artistic room - Lisbon city center,2017-07-28 01:19:46.439087,38.73144,-9.135025,0101000020E6100000E9482EFF214522C03D7E6FD39F5D4340
17954348,1480,123079348,Shared room,,Lisbon,,Arroios,1,0.0,2,1.0,,96.0,,Nice Room Anjos,2017-07-28 01:19:45.383941,38.732005,-9.134631,0101000020E6100000390EBC5AEE4422C016C1FF56B25D4340
17941583,1480,123079348,Shared room,,Lisbon,,Arroios,0,0.0,3,1.0,,102.0,,Room Almirante Reis,2017-07-28 01:19:45.381593,38.731765,-9.136077,0101000020E6100000C07971E2AB4522C0C1ADBB79AA5D4340
14348377,1480,84472028,Shared room,,Lisbon,,São Vicente,0,0.0,5,1.0,,90.0,,Lisboa Arte Hostel - Shared Room 2,2017-07-28 01:19:45.379203,38.715985,-9.119991,0101000020E6100000F1A0D9756F3D22C09AB67F65A55B4340
349975,1480,1466881,Shared room,,Lisbon,,Santo António,0,0.0,4,1.0,,96.0,,BERNARDIM WHITE  IN LISBON,2017-07-28 01:19:45.375829,38.725445,-9.143818,0101000020E6100000FA264D83A24922C0FB05BB61DB5C4340
8078043,1480,823551,Shared room,,Lisbon,,Campo de Ourique,3,4.5,4,1.0,,90.0,,Shared Room at City Center,2017-07-28 01:19:45.373386,38.721642,-9.157656,0101000020E61000004E098849B85022C0C4B5DAC35E5C4340
17953842,1480,123079348,Shared room,,Lisbon,,Arroios,0,0.0,2,1.0,,96.0,,Quarto de casal,2017-07-28 01:19:45.363741,38.727834,-9.136257,0101000020E6100000C0B33D7AC34522C05C751DAA295D4340
13315683,1480,67452133,Shared room,,Lisbon,,Arroios,0,0.0,5,1.0,,96.0,,Large family/friends room - central Lisbon,2017-07-28 01:19:45.360936,38.729719,-9.136937,0101000020E61000008639419B1C4622C08A22A46E675D4340
13844212,1480,39832910,Shared room,,Lisbon,,Lumiar,3,5.0,7,1.0,,96.0,,Luxury and quite apartment,2017-07-28 01:19:45.358061,38.768529,-9.156442,0101000020E61000001171732A195022C0888384285F624340
12533315,1480,67897539,Shared room,,Lisbon,,Parque das Nações,14,4.5,3,1.0,,84.0,,Camper Van,2017-07-28 01:19:45.355412,38.782413,-9.09824,0101000020E61000006E5166834C3222C08D7BF31B26644340
8946600,1480,46762399,Shared room,,Lisbon,,Avenidas Novas,1,0.0,3,1.0,,66.0,,Mixed tripple room,2017-07-28 01:19:44.278888,38.730823,-9.148878,0101000020E61000001230BABC394C22C01215AA9B8B5D4340
